Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34.58099999998865,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67.21499999999025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100.82199999999375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134.94000000000028,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
168.29500000000053,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201.64099999999507,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
235.3999999999985,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
269.40799999999854,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
302.46599999999546,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
336.06899999999484,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
370.69099999999366,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
403.36599999999123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
437.0409999999936,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
471.35399999999095,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
504.10599999999306,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
538.6799999999994,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
572.1939999999961,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
604.9419999999941,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
639.5169999999979,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
672.6269999999914,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
705.7619999999929,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
740.2919999999966,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
772.9659999999967,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
806.5699999999936,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
841.1179999999945,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
873.784999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
907.3920000000015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
941.6370000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
974.9109999999916,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1008.2269999999909,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
