trial_number,forced_side,delay_duration_s,delay_start_time,delay_end_time,delay_start_frame,delay_end_frame
1,right,5.175,5190.883394,5196.058886,23844,23998
2,right,30.145,5311.197628,5341.342166,27424,28321
3,left,5.576,5457.423866,5462.999699,31775,31941
4,right,5.949,5702.181072,5708.12969,39058,39235
5,right,30.513,5857.313771,5887.827213,43665,44573
6,left,5.343,6171.537747,6176.880679,53012,53171
7,left,30.55,6510.16183,6540.71152,63088,63997
8,right,30.145,7153.704192,7183.849626,82202,83099
9,right,5.578,7512.327423,7517.904941,92873,93039
10,left,30.012,7861.569125,7891.580924,103265,104158
11,left,4.941,8022.647819,8027.588329,108058,108205
